"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"10274",8.53041819095385e-84,-1.45613139672679,0.419,0.627,1.57317972277571e-79,"ResA_1'","ENSG00000103502"
"10275",2.80721601433532e-161,-1.45613379582786,0.2,0.524,5.17706777363719e-157,"ResA_1'","ENSG00000168936"
"10276",5.36029094931397e-113,-1.4567587338322,0.275,0.552,9.88544856872482e-109,"ResA_1'","ENSG00000105221"
"10277",9.37171624829508e-89,-1.45679364035863,0.294,0.533,1.72833191051058e-84,"ResA_1'","ENSG00000203705"
"10278",4.84372478320673e-95,-1.45710398881129,0.314,0.552,8.93279724518985e-91,"ResA_1'","ENSG00000186350"
"10279",3.89933979821515e-83,-1.45715182472444,0.397,0.633,7.19116245586838e-79,"ResA_1'","ENSG00000136271"
"10280",2.19929578345467e-114,-1.45720820116284,0.35,0.62,4.0559412838471e-110,"ResA_1'","ENSG00000145817"
"10281",4.60340790886907e-134,-1.45776350124497,0.213,0.51,8.48960486553634e-130,"ResA_1'","ENSG00000129158"
"10282",1.29478994464283e-82,-1.4579175351905,0.32,0.53,2.3878516159103e-78,"ResA_1'","ENSG00000106299"
"10283",4.8794709274628e-122,-1.45838834535033,0.167,0.428,8.99872028442689e-118,"ResA_1'","ENSG00000170776"
"10284",1.0781766938916e-101,-1.4586221076218,0.15,0.392,1.98837345887489e-97,"ResA_1'","ENSG00000101752"
"10285",2.80199863273977e-131,-1.45983124875447,0.183,0.466,5.16744587849869e-127,"ResA_1'","ENSG00000141627"
"10286",8.18512013680944e-74,-1.46037370145394,0.336,0.543,1.5094998556304e-69,"ResA_1'","ENSG00000137574"
"10287",5.84844048242293e-114,-1.4605982600206,0.272,0.54,1.07856939376844e-109,"ResA_1'","ENSG00000138162"
"10288",3.27656703442398e-40,-1.46325349815021,0.467,0.613,6.04264492488471e-36,"ResA_1'","ENSG00000173801"
"10289",1.18538531389497e-93,-1.46383170165578,0.242,0.475,2.1860875958851e-89,"ResA_1'","ENSG00000146872"
"10290",1.2950634565315e-71,-1.46415786311424,0.344,0.552,2.3883560265354e-67,"ResA_1'","ENSG00000185115"
"10291",5.23619012557154e-125,-1.4643348644061,0.229,0.514,9.65658182957904e-121,"ResA_1'","ENSG00000052841"
"10292",3.53747728079235e-109,-1.46508635142939,0.19,0.454,6.52381560123726e-105,"ResA_1'","ENSG00000064419"
"10293",2.58774340388768e-125,-1.46515098314061,0.185,0.459,4.77231638544967e-121,"ResA_1'","ENSG00000148110"
"10294",1.51340682123603e-95,-1.46521076551931,0.31,0.547,2.79102485972349e-91,"ResA_1'","ENSG00000176946"
"10295",2.42097156249977e-132,-1.46528021949875,0.098,0.362,4.46475575556207e-128,"ResA_1'","ENSG00000137700"
"10296",3.70054502479793e-152,-1.46791880220392,0.219,0.535,6.82454513473234e-148,"ResA_1'","ENSG00000205138"
"10297",4.4519962946264e-133,-1.46855790097677,0.07,0.317,8.21037156655001e-129,"ResA_1'","ENSG00000116761"
"10298",1.14893641705023e-82,-1.46890081657584,0.227,0.435,2.11886854032403e-78,"ResA_1'","ENSG00000172845"
"10299",1.60858981014463e-60,-1.46954338287235,0.494,0.663,2.96656132786873e-56,"ResA_1'","ENSG00000144635"
"10300",3.8013827990131e-145,-1.46995084399608,0.168,0.468,7.01051015793996e-141,"ResA_1'","ENSG00000141428"
"10301",8.1784019294913e-179,-1.46997152155198,0.23,0.579,1.50826088383679e-174,"ResA_1'","ENSG00000100099"
"10302",5.77693229779815e-98,-1.4703921957635,0.361,0.598,1.06538185435993e-93,"ResA_1'","ENSG00000088766"
"10303",9.50641643435757e-125,-1.47075471136621,0.226,0.504,1.75317331882422e-120,"ResA_1'","ENSG00000106733"
"10304",1.16484817928894e-116,-1.47138409431125,0.244,0.522,2.14821301224466e-112,"ResA_1'","ENSG00000148985"
"10305",5.41073105914957e-115,-1.47146605289286,0.2,0.46,9.97847021928365e-111,"ResA_1'","ENSG00000120709"
"10306",4.03828415094814e-98,-1.47287524398633,0.399,0.632,7.44740363117855e-94,"ResA_1'","ENSG00000137074"
"10307",3.46492677745341e-133,-1.47311448048117,0.258,0.546,6.39001796297958e-129,"ResA_1'","ENSG00000125482"
"10308",3.47342121222759e-191,-1.47337789222071,0.126,0.465,6.40568339959013e-187,"ResA_1'","ENSG00000142694"
"10309",1.39178351081308e-43,-1.47407332785369,0.463,0.605,2.56672715064147e-39,"ResA_1'","ENSG00000138663"
"10310",5.35371393260805e-76,-1.47416183426517,0.312,0.51,9.87331923451577e-72,"ResA_1'","ENSG00000066136"
"10311",1.75055831845183e-74,-1.47507413917348,0.398,0.603,3.22837965088887e-70,"ResA_1'","ENSG00000055332"
"10312",2.9806079708131e-70,-1.47610447693389,0.186,0.39,5.49683721977352e-66,"ResA_1'","ENSG00000231663"
"10313",5.32548800218669e-85,-1.47903727556838,0.421,0.632,9.82126497363269e-81,"ResA_1'","ENSG00000084652"
"10314",3.7749340579435e-119,-1.47937861446752,0.301,0.587,6.9617333896594e-115,"ResA_1'","ENSG00000196449"
"10315",4.0065223504262e-71,-1.48054099285453,0.279,0.494,7.38882851865601e-67,"ResA_1'","ENSG00000247828"
